timestamp,sensor_id,temperature,humidity
1698933279.029525,DHT22_01,22.6,54.7
1698933281.137007,DHT22_01,22.6,53.3
1698933283.270702,DHT22_01,22.6,55.0
1698933285.306562,DHT22_01,22.6,55.1
1698933287.347252,DHT22_01,22.6,55.1
1698933289.433657,DHT22_01,22.7,55.1
1698933291.591121,DHT22_01,22.6,55.0
1698933293.740414,DHT22_01,22.6,55.0
1698933295.869729,DHT22_01,22.6,54.9
1698933297.913891,DHT22_01,22.6,54.8
1698933299.951597,DHT22_01,22.6,54.8
1698933301.988905,DHT22_01,22.6,54.8
1698933304.024451,DHT22_01,22.6,54.8
1698933306.05926,DHT22_01,22.6,54.7
1698933308.094196,DHT22_01,22.6,54.7
1698933310.13138,DHT22_01,22.6,54.7
1698933312.172155,DHT22_01,22.6,54.7
1698933315.271092,DHT22_01,22.6,54.6
1698933317.307831,DHT22_01,22.6,54.6
1698933319.354411,DHT22_01,22.6,54.6
1698933321.398261,DHT22_01,22.6,54.6
1698933323.445165,DHT22_01,22.6,54.6
1698933325.584187,DHT22_01,22.6,54.6
1698933327.735696,DHT22_01,22.6,54.6
1698933329.768703,DHT22_01,22.6,54.6
1698933331.835654,DHT22_01,22.6,54.6
1698933333.872232,DHT22_01,22.6,54.6
1698933335.911675,DHT22_01,22.6,54.6
1698933337.958057,DHT22_01,22.6,54.6
1698933340.008049,DHT22_01,22.6,54.5
1698933342.04612,DHT22_01,22.6,54.6
1698933344.081508,DHT22_01,22.6,54.5
1698933346.124035,DHT22_01,22.6,54.5
1698933348.161229,DHT22_01,22.7,54.6
1698933350.197909,DHT22_01,22.6,54.5
1698933352.268553,DHT22_01,22.6,54.5
1698933354.342784,DHT22_01,22.6,54.5
1698933356.422926,DHT22_01,22.6,54.5
1698933358.565193,DHT22_01,22.7,54.6
1698933360.716948,DHT22_01,22.6,54.5
1698933362.865621,DHT22_01,22.6,54.6
1698933365.02913,DHT22_01,22.7,54.6
1698933367.12197,DHT22_01,22.6,54.6
1698933369.219437,DHT22_01,22.6,54.6
1698933371.36662,DHT22_01,22.7,54.6
1698933373.521413,DHT22_01,22.7,54.6
1698933375.555895,DHT22_01,22.7,54.6
1698933377.590759,DHT22_01,22.6,54.6
1698933379.661983,DHT22_01,22.7,54.6
1698933381.811273,DHT22_01,22.6,54.5
1698933383.944825,DHT22_01,22.7,54.6
1698933385.992724,DHT22_01,22.7,54.6
1698933388.028691,DHT22_01,22.6,54.6
1698933390.066993,DHT22_01,22.7,54.6
1698933392.160216,DHT22_01,22.7,54.6
1698933394.286857,DHT22_01,22.7,54.6
1698933396.325624,DHT22_01,22.7,54.6
1698933398.386026,DHT22_01,22.7,54.6
1698933400.429239,DHT22_01,22.7,54.6
1698933402.501008,DHT22_01,22.7,54.6
1698933404.53919,DHT22_01,22.7,54.6
1698933406.578008,DHT22_01,22.7,54.6
1698933408.645299,DHT22_01,22.7,54.6
1698933410.68172,DHT22_01,22.7,54.6
1698933412.722121,DHT22_01,22.7,54.6
1698933414.75359,DHT22_01,22.7,54.6
1698933416.824246,DHT22_01,22.7,54.6
1698933418.892456,DHT22_01,22.7,54.6
1698933420.965691,DHT22_01,22.7,54.6
1698933423.055106,DHT22_01,22.7,54.6
1698933425.128922,DHT22_01,22.7,54.6
1698933427.305426,DHT22_01,22.7,54.6
1698933429.434978,DHT22_01,22.7,54.6
1698933431.614552,DHT22_01,22.7,54.6
1698933433.733698,DHT22_01,22.7,54.6
1698933435.802381,DHT22_01,22.7,54.6
1698933437.844091,DHT22_01,22.7,54.6
1698933439.882568,DHT22_01,22.7,54.6
1698933441.917075,DHT22_01,22.7,54.6
1698933443.964989,DHT22_01,22.7,54.6
1698933446.075276,DHT22_01,22.7,54.6
1698933448.151861,DHT22_01,22.7,54.6
1698933450.19054,DHT22_01,22.7,54.6
1698933452.291322,DHT22_01,22.7,54.6
1698933454.399384,DHT22_01,22.7,54.5
1698933456.436183,DHT22_01,22.7,54.5
1698933458.471336,DHT22_01,22.7,54.5
1698933460.508495,DHT22_01,22.7,54.5
1698933462.543039,DHT22_01,22.7,54.5
1698933464.66289,DHT22_01,22.7,54.5
1698933466.913495,DHT22_01,22.7,54.5
