timestamp,sensor_id,temperature,humidity
1698910598.259521,DHT22_01,21.8,60.2
1698910600.306229,DHT22_01,21.8,60.2
1698910602.424711,DHT22_01,21.8,60.2
1698910604.461926,DHT22_01,21.8,60.2
1698910606.560217,DHT22_01,21.8,60.3
1698910608.765282,DHT22_01,21.8,60.3
1698910610.812424,DHT22_01,21.9,60.3
1698910612.962784,DHT22_01,21.8,60.2
1698910615.110239,DHT22_01,21.8,60.3
1698910617.259945,DHT22_01,21.8,60.2
1698910619.617499,DHT22_01,21.9,60.1
1698910621.735623,DHT22_01,21.7,60.1
1698910623.815158,DHT22_01,21.7,60.1
1698910625.862972,DHT22_01,21.7,60.1
1698910627.915545,DHT22_01,21.8,60.2
1698910629.960916,DHT22_01,21.8,60.3
1698910632.007655,DHT22_01,21.8,60.2
1698910634.05906,DHT22_01,21.8,60.2
1698910636.102128,DHT22_01,21.8,60.1
1698910638.149806,DHT22_01,21.8,60.2
1698910640.199131,DHT22_01,21.8,60.2
1698910642.253355,DHT22_01,21.8,60.2
1698910644.348612,DHT22_01,21.8,60.2
1698910646.554044,DHT22_01,21.8,60.3
1698910648.698734,DHT22_01,21.8,60.2
1698910650.956003,DHT22_01,21.8,60.3
1698910653.102158,DHT22_01,21.8,60.2
1698910655.156681,DHT22_01,21.7,60.3
1698910657.20126,DHT22_01,21.8,60.2
1698910659.249799,DHT22_01,21.8,60.2
1698910661.293976,DHT22_01,21.8,60.3
1698910663.328808,DHT22_01,21.8,60.4
1698910665.393239,DHT22_01,21.8,60.3
1698910667.449743,DHT22_01,21.7,60.2
1698910669.513215,DHT22_01,21.8,60.3
1698910671.652441,DHT22_01,21.8,60.5
1698910673.711495,DHT22_01,21.8,60.5
1698910759.021628,DHT22_01,21.8,60.9
1698910761.734701,DHT22_01,21.9,60.9
1698910764.212814,DHT22_01,21.9,60.8
1698910766.264593,DHT22_01,21.9,60.8
1698910768.341419,DHT22_01,21.8,60.8
1698910770.408938,DHT22_01,21.8,60.8
1698910771.71304,DHT22_01,21.9,60.8
1698910775.920715,DHT22_01,21.8,60.7
1698910778.491246,DHT22_01,21.8,60.7
1698910780.602188,DHT22_01,21.8,60.7
1698910782.782171,DHT22_01,21.9,60.8
1698910785.240482,DHT22_01,21.8,60.7
1698910787.600713,DHT22_01,21.8,60.7
1698910789.799147,DHT22_01,21.9,60.7
1698910791.998626,DHT22_01,21.9,60.7
1698910794.127411,DHT22_01,21.9,60.7
1698910796.400453,DHT22_01,21.8,60.6
1698910799.269713,DHT22_01,21.8,60.6
1698910801.948585,DHT22_01,21.8,60.6
1698910804.304652,DHT22_01,21.9,60.7
1698910806.767717,DHT22_01,21.8,60.6
1698910809.430145,DHT22_01,21.8,60.6
1698910811.778189,DHT22_01,21.8,60.6
1698910814.017878,DHT22_01,21.9,60.7
1698910816.164358,DHT22_01,21.8,60.6
1698910818.236773,DHT22_01,21.8,60.6
1698910820.724385,DHT22_01,21.8,60.6
1698910822.867216,DHT22_01,21.9,60.6
1698910824.909767,DHT22_01,21.9,60.6
1698910826.958444,DHT22_01,21.8,60.6
1698910829.049677,DHT22_01,21.9,60.6
1698910831.412113,DHT22_01,21.8,60.6
1698910834.923316,DHT22_01,21.8,60.6
1698910836.96635,DHT22_01,21.8,60.6
1698910839.041658,DHT22_01,21.9,60.6
1698910841.19062,DHT22_01,21.9,60.6
1698910843.343843,DHT22_01,21.8,60.5
1698910845.506329,DHT22_01,21.8,60.5
1698910847.636615,DHT22_01,21.9,60.6
1698910849.685912,DHT22_01,21.8,60.5
1698910851.72072,DHT22_01,21.8,60.5
1698910853.807281,DHT22_01,21.9,60.6
1698910855.865905,DHT22_01,21.8,60.5
1698910857.941794,DHT22_01,21.9,60.6
1698910860.13197,DHT22_01,21.8,60.5
1698910862.586627,DHT22_01,21.9,60.6
1698910865.151025,DHT22_01,21.9,60.5
1698910868.788367,DHT22_01,21.8,60.5
1698910870.917808,DHT22_01,21.8,60.5
1698910873.128525,DHT22_01,21.8,60.5
1698910876.276338,DHT22_01,21.8,60.5
1698910878.60647,DHT22_01,21.8,60.5
1698910880.971152,DHT22_01,21.9,60.5
1698910883.314317,DHT22_01,21.8,60.5
1698910885.816173,DHT22_01,21.8,60.5
1698910888.068242,DHT22_01,21.8,60.5
1698910890.591537,DHT22_01,21.8,60.4
1698910892.902118,DHT22_01,21.8,60.5
1698910895.484388,DHT22_01,21.9,60.5
1698910897.61935,DHT22_01,21.8,60.5
1698910899.7611,DHT22_01,21.9,60.5
1698910901.832915,DHT22_01,21.9,60.5
1698910904.047756,DHT22_01,21.8,60.4
1698910906.321479,DHT22_01,21.8,60.5
1698910908.591419,DHT22_01,21.9,60.6
1698910910.841181,DHT22_01,21.9,60.5
1698910912.995296,DHT22_01,21.9,60.5
1698910916.916211,DHT22_01,21.9,60.5
1698910918.991497,DHT22_01,21.9,60.5
1698910921.079495,DHT22_01,21.8,60.5
1698910923.285646,DHT22_01,21.9,60.5
1698910926.121272,DHT22_01,21.8,60.5
1698910928.260465,DHT22_01,21.8,60.5
1698910930.447071,DHT22_01,21.8,60.5
1698910932.775471,DHT22_01,21.8,60.5
1698910935.097085,DHT22_01,21.8,60.5
1698910937.355237,DHT22_01,21.9,60.5
1698910939.637027,DHT22_01,22.1,60.6
1698910941.773349,DHT22_01,21.8,60.5
1698910944.03269,DHT22_01,21.9,60.5
1698910946.239957,DHT22_01,21.9,60.5
1698910948.529679,DHT22_01,21.9,60.5
1698910950.753827,DHT22_01,21.9,60.6
1698910952.851392,DHT22_01,22.0,60.6
1698910955.009121,DHT22_01,21.8,60.5
1698910957.24717,DHT22_01,21.9,60.5
1698910959.437737,DHT22_01,21.8,60.5
1698910961.644296,DHT22_01,21.9,60.5
1698910964.572764,DHT22_01,21.9,60.5
1698910966.749414,DHT22_01,21.9,60.5
1698910968.798659,DHT22_01,21.7,60.4
1698910970.836842,DHT22_01,21.9,60.5
1698910972.899798,DHT22_01,21.8,60.5
1698910974.943073,DHT22_01,21.8,60.5
1698910977.007418,DHT22_01,21.8,60.5
1698910979.055899,DHT22_01,21.8,60.5
1698910988.001457,DHT22_01,21.9,60.5
1698910990.110448,DHT22_01,21.9,60.5
1698910992.267943,DHT22_01,21.8,60.4
1698910994.565498,DHT22_01,21.8,60.5
1698910996.870562,DHT22_01,21.9,60.5
1698910999.027881,DHT22_01,21.8,60.4
1698911001.157535,DHT22_01,21.7,60.4
1698911003.32731,DHT22_01,21.8,60.4
1698911006.386538,DHT22_01,21.8,60.4
1698911008.452187,DHT22_01,21.8,60.4
1698911013.463116,DHT22_01,21.7,60.4
1698911015.822149,DHT22_01,21.8,60.5
1698911024.919333,DHT22_01,21.9,60.5
1698911027.194891,DHT22_01,21.8,60.5
1698911029.650715,DHT22_01,21.8,60.5
1698911032.007565,DHT22_01,21.8,60.5
1698911034.1422,DHT22_01,21.8,60.5
1698911036.244779,DHT22_01,21.8,60.5
1698911038.298059,DHT22_01,21.9,60.5
1698911040.589758,DHT22_01,21.7,60.4
